sysTime 	ACTION 	ChannelUsed 	TransJob 	CPU 	RunningJob 	ActionQos 
108310	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
108320	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
108330	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
108340	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
108350	1	20.75187496394218	1	0.10000000000000003	1	1437.3952451491068
108360	1	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
108370	1	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
108380	1	-1.4210854715202004e-14	0	0.20000000000000004	2	1437.3952451491068
108390	1	-1.4210854715202004e-14	0	0.10000000000000003	1	14373.952451491066
108400	0	-1.4210854715202004e-14	0	0.10000000000000003	1	14373.952451491066
108410	0	-1.4210854715202004e-14	0	0.10000000000000003	1	14373.952451491066
108420	0	-1.4210854715202004e-14	0	0.10000000000000003	1	14373.952451491066
108430	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	7432.453659039092
108440	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	7432.453659039092
108450	5	32.19280948873623	2	2.7755575615628914e-17	0	7432.453659039092
108460	5	16.096404744368108	1	0.10000000000000003	1	7432.453659039092
108470	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7432.453659039092
108480	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7432.453659039092
108490	5	-1.4210854715202004e-14	0	0.20000000000000004	2	7432.453659039092
108500	0	-1.4210854715202004e-14	0	0.20000000000000004	2	7432.453659039092
108510	0	-1.4210854715202004e-14	0	0.20000000000000004	2	7432.453659039092
108520	0	-1.4210854715202004e-14	0	0.20000000000000004	2	7432.453659039092
108530	0	-1.4210854715202004e-14	0	0.10000000000000003	1	2156.09286772366
108540	0	-1.4210854715202004e-14	0	0.10000000000000003	1	2156.09286772366
108550	22	39.45516087506906	3	0.10000000000000003	1	2156.09286772366
108560	22	26.30344058337937	2	0.10000000000000003	1	10780.4643386183
108570	22	13.151720291689678	1	0.20000000000000004	2	10780.4643386183
108580	22	-1.4210854715202004e-14	0	0.30000000000000004	3	10780.4643386183
108590	22	-1.4210854715202004e-14	0	0.10000000000000003	1	139.1526093615887
108600	0	-1.4210854715202004e-14	0	0.10000000000000003	1	139.1526093615887
108610	0	-1.4210854715202004e-14	0	0.10000000000000003	1	139.1526093615887
108620	0	-1.4210854715202004e-14	0	0.10000000000000003	1	139.1526093615887
108630	0	-1.4210854715202004e-14	0	0.10000000000000003	1	139.1526093615887
108640	0	-1.4210854715202004e-14	0	0.10000000000000003	1	139.1526093615887
108650	5	32.19280948873623	2	2.7755575615628914e-17	0	2783.052187231774
108660	5	16.096404744368108	1	0.10000000000000003	1	2783.052187231774
108670	5	-1.4210854715202004e-14	0	0.20000000000000004	2	2783.052187231774
108680	5	-1.4210854715202004e-14	0	0.20000000000000004	2	2783.052187231774
108690	5	-1.4210854715202004e-14	0	0.20000000000000004	2	2783.052187231774
108700	0	-1.4210854715202004e-14	0	0.20000000000000004	2	2783.052187231774
108710	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
108720	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
108730	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
108740	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1437.3952451491068
108750	13	39.45516087506906	3	0.10000000000000003	1	1437.3952451491068
108760	13	26.30344058337937	2	0.20000000000000004	2	1437.3952451491068
108770	13	-1.4210854715202004e-14	0	0.30000000000000004	3	1437.3952451491068
108780	13	-1.4210854715202004e-14	0	0.4	4	1437.3952451491068
108790	13	-1.4210854715202004e-14	0	0.30000000000000004	3	14373.952451491066
108800	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1043.6445702119154
108810	0	-1.4210854715202004e-14	0	0.10000000000000003	1	1043.6445702119154
108820	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1391.526093615887
108830	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1391.526093615887
108840	0	-1.4210854715202004e-14	0	2.7755575615628914e-17	0	1391.526093615887
108850	5	32.19280948873623	2	2.7755575615628914e-17	0	1391.526093615887
108860	5	16.096404744368108	1	0.10000000000000003	1	1391.526093615887
108870	5	-1.4210854715202004e-14	0	0.20000000000000004	2	1391.526093615887
108880	5	-1.4210854715202004e-14	0	0.20000000000000004	2	1391.526093615887
108890	5	-1.4210854715202004e-14	0	0.20000000000000004	2	1391.526093615887
108900	3	32.19280948873623	2	0.10000000000000003	1	3593.4881128727666
108910	3	-1.4210854715202004e-14	0	0.20000000000000004	2	3593.4881128727666
108920	3	-1.4210854715202004e-14	0	0.30000000000000004	3	3593.4881128727666
108930	3	-1.4210854715202004e-14	0	0.30000000000000004	3	3593.4881128727666
108940	3	-1.4210854715202004e-14	0	0.30000000000000004	3	3593.4881128727666
108950	0	-1.4210854715202004e-14	0	0.10000000000000003	1	2874.790490298213
