No 	 Uid 	 Jid  	 offloadtime 	 begintime 	 commutime 	 runtime 	 energy 	 AoI
1915	2	494	100.25	100.26	0.011928129482900694	0.3	0.10435543077397609	0.09
1916	0	104	100.3	100.32	0.024331417708313156	0.075	0.17965886600830736	0.04
1917	4	969	100.25	100.25	0.003976043160966898	0.375	0.03478514359132537	0.1
1918	4	970	100.3	100.31	0.0048662835416626304	0.25	0.035931773201661465	0.08
1919	2	495	100.4	100.41	0.011928129482900694	0.075	0.10435543077397609	0.03
1920	4	971	100.4	100.4	0.003976043160966898	0.5	0.03478514359132537	0.13
1921	4	972	100.5	100.5	0.003084058674756107	0.25	0.03363626757308587	0.07
1922	2	497	100.65	100.66	0.011928129482900694	0.075	0.10435543077397609	0.03
1923	2	496	100.6	100.61	0.011928129482900694	0.3	0.10435543077397609	0.09
1924	4	973	100.6	100.6	0.003976043160966898	0.375	0.03478514359132537	0.1
1925	4	974	100.65	100.65	0.003976043160966898	0.25	0.03478514359132537	0.07
1926	2	498	100.7	100.71	0.01726677544551137	0.15	0.11123160677381866	0.04
1927	3	243	100.7	100.72	0.011511183630340911	0.1	0.0741544045158791	0.04
1928	1	105	100.7	100.73	0.023022367260681822	0.05	0.1483088090317582	0.05
1929	4	975	100.7	100.7	0.0057555918151704554	0.375	0.03707720225793955	0.1
1930	4	976	100.8	100.8	0.003976043160966898	0.25	0.03478514359132537	0.07
1931	2	499	100.8	100.81	0.011928129482900694	0.3	0.10435543077397609	0.09
1932	3	244	100.9	100.9	0.007952086321933796	0.1	0.06957028718265074	0.02
1933	4	977	100.9	100.91	0.003976043160966898	0.125	0.03478514359132537	0.05
1934	2	500	101.0	101.01	0.011928129482900694	0.15	0.10435543077397609	0.05
1935	4	978	101.0	101.0	0.003976043160966898	0.375	0.03478514359132537	0.1
1936	4	979	101.1	101.11	0.003976043160966898	0.125	0.03478514359132537	0.05
1937	3	245	101.1	101.1	0.007952086321933796	0.4	0.06957028718265074	0.09
1938	4	980	101.2	101.2	0.003976043160966898	0.125	0.03478514359132537	0.04
1939	2	501	101.2	101.21	0.011928129482900694	0.15	0.10435543077397609	0.05
1940	2	502	101.3	101.31	0.011928129482900694	0.075	0.10435543077397609	0.03
1941	4	981	101.3	101.3	0.003976043160966898	0.125	0.03478514359132537	0.04
1942	2	503	101.4	101.41	0.011928129482900694	0.15	0.10435543077397609	0.05
1943	4	982	101.4	101.4	0.003976043160966898	0.375	0.03478514359132537	0.1
1944	3	246	101.5	101.5	0.007952086321933796	0.4	0.06957028718265074	0.09
1945	4	983	101.5	101.51	0.003976043160966898	0.5	0.03478514359132537	0.14
1946	4	984	101.6	101.6	0.003084058674756107	0.375	0.03363626757308587	0.1
1947	3	247	101.7	101.7	0.007952086321933796	0.2	0.06957028718265074	0.04
1948	4	985	101.7	101.71	0.003976043160966898	0.125	0.03478514359132537	0.05
1949	2	504	101.8	101.81	0.011928129482900694	0.15	0.10435543077397609	0.05
1950	4	986	101.8	101.8	0.003976043160966898	0.375	0.03478514359132537	0.1
1951	3	248	101.9	101.9	0.007952086321933796	0.1	0.06957028718265074	0.02
1952	4	987	101.9	101.91	0.003976043160966898	0.375	0.03478514359132537	0.11
1953	4	988	102.0	102.0	0.003084058674756107	0.125	0.03363626757308587	0.04
1954	2	505	102.1	102.11	0.011928129482900694	0.15	0.10435543077397609	0.05
1955	4	989	102.1	102.1	0.003976043160966898	0.25	0.03478514359132537	0.07
1956	4	990	102.2	102.2	0.003976043160966898	0.25	0.03478514359132537	0.07
1957	2	506	102.2	102.21	0.011928129482900694	0.225	0.10435543077397609	0.07
1958	2	507	102.3	102.31	0.011928129482900694	0.075	0.10435543077397609	0.03
1959	4	991	102.3	102.3	0.003976043160966898	0.375	0.03478514359132537	0.1
1960	3	249	102.4	102.4	0.007952086321933796	0.3	0.06957028718265074	0.07
1961	4	992	102.4	102.41	0.003976043160966898	0.375	0.03478514359132537	0.11
1962	4	993	102.5	102.5	0.003084058674756107	0.125	0.03363626757308587	0.04
1963	4	994	102.6	102.6	0.003976043160966898	0.125	0.03478514359132537	0.04
1964	2	508	102.6	102.61	0.011928129482900694	0.15	0.10435543077397609	0.05
1965	2	509	102.7	102.71	0.011928129482900694	0.3	0.10435543077397609	0.09
1966	4	995	102.7	102.7	0.003976043160966898	0.375	0.03478514359132537	0.1
1967	4	996	102.8	102.8	0.003084058674756107	0.375	0.03363626757308587	0.1
1968	3	250	102.9	102.9	0.007952086321933796	0.2	0.06957028718265074	0.04
1969	4	997	102.9	102.91	0.003976043160966898	0.25	0.03478514359132537	0.08
1970	2	510	103.0	103.01	0.011928129482900694	0.3	0.10435543077397609	0.09
1971	4	998	103.0	103.0	0.003976043160966898	0.375	0.03478514359132537	0.1
1972	4	999	103.1	103.1	0.003084058674756107	0.375	0.03363626757308587	0.1
1973	3	251	103.2	103.2	0.007952086321933796	0.1	0.06957028718265074	0.02
1974	4	1000	103.2	103.21	0.003976043160966898	0.25	0.03478514359132537	0.08
1975	3	252	103.3	103.3	0.006168117349512214	0.3	0.06727253514617174	0.08
1976	2	511	103.4	103.41	0.011928129482900694	0.075	0.10435543077397609	0.03
1977	4	1001	103.4	103.4	0.003976043160966898	0.375	0.03478514359132537	0.1
1978	3	253	103.5	103.5	0.007952086321933796	0.4	0.06957028718265074	0.09
1979	4	1002	103.5	103.51	0.003976043160966898	0.5	0.03478514359132537	0.14
1980	4	1003	103.6	103.6	0.003084058674756107	0.375	0.03363626757308587	0.1
1981	3	254	103.7	103.7	0.007952086321933796	0.2	0.06957028718265074	0.04
1982	4	1004	103.7	103.71	0.003976043160966898	0.5	0.03478514359132537	0.14
1983	4	1005	103.8	103.8	0.003084058674756107	0.375	0.03363626757308587	0.1
1984	3	255	103.9	103.9	0.007952086321933796	0.4	0.06957028718265074	0.09
1985	4	1006	103.9	103.91	0.003976043160966898	0.5	0.03478514359132537	0.14
1986	4	1007	104.0	104.0	0.003084058674756107	0.25	0.03363626757308587	0.07
1987	2	512	104.1	104.11	0.011928129482900694	0.225	0.10435543077397609	0.07
1988	4	1008	104.1	104.1	0.003976043160966898	0.375	0.03478514359132537	0.1
1989	4	1009	104.2	104.2	0.003084058674756107	0.125	0.03363626757308587	0.04
1990	2	513	104.3	104.31	0.011928129482900694	0.3	0.10435543077397609	0.09
1991	4	1010	104.3	104.3	0.003976043160966898	0.375	0.03478514359132537	0.1
1992	4	1011	104.4	104.4	0.003084058674756107	0.5	0.03363626757308587	0.13
1993	1	106	104.55	104.56	0.019465134166650522	0.05	0.14372709280664586	0.02
1994	4	1012	104.5	104.5	0.003084058674756107	0.375	0.03363626757308587	0.1
1995	2	514	104.55	104.57	0.014598850624987891	0.225	0.10779531960498441	0.08
1996	3	256	104.55	104.55	0.009732567083325261	0.4	0.07186354640332293	0.1
1997	3	257	104.65	104.65	0.009732567083325261	0.1	0.07186354640332293	0.02
1998	0	105	104.65	104.67	0.024331417708313156	0.075	0.17965886600830736	0.04
1999	4	1013	104.65	104.66	0.0048662835416626304	0.5	0.035931773201661465	0.14
2000	4	1014	104.75	104.75	0.003084058674756107	0.5	0.03363626757308587	0.13
